,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
20,0.32825944,0.7625205,0.07019733,0.32450515,0.53500736,0.4068596,0.47828278,0.54364526,0.55369115,0.5220241,0.46363088,0.5362847,0.25937706,0.39753714,0.38122883,0.28076556,0.3819588,0.49693128,0.47194177,0.36884075,1.0,0.40483198,0.57068163,0.14160547,0.55496764,0.60332763,0.44771448,0.5908017,0.18830103,0.31122145,0.21024144,0.3970435,0.49467117,0.5226873,0.42550445,0.35098988,0.5410506,0.40502584,0.39557293,0.46293035,0.3292148,0.43298763,0.53596795,0.614893,0.48667824,0.036753807,0.65597206,0.4311496,0.3532201,0.4314353,0.49582192,0.30103096,0.3233228,0.5025942,0.27384573,0.31067333,0.46220428,0.48677695,0.18394177,0.188463,0.26631674,0.3403132,0.5044615,0.5679725
21,0.25195608,0.44761017,0.20325425,0.34442344,0.4420602,0.17780742,0.35146978,0.22459073,0.42786524,0.22570623,0.52120036,0.20711403,0.14949465,0.4098426,0.70499885,0.18503709,0.26903427,0.62720776,0.31948903,0.1722261,0.40483198,1.0,0.31942603,0.10830495,0.16400379,0.3196386,0.44011298,0.35989374,0.29637668,0.26694602,0.15287568,0.27498287,0.3042853,0.16678073,0.37835234,0.14183569,0.19815211,0.23279226,0.2985077,0.24985048,0.43018416,0.16451186,0.38169935,0.45874688,0.16056764,0.12148139,0.47241518,0.19222675,0.26556256,0.11193581,0.24835871,0.13132143,0.39704746,0.43578222,0.16559489,0.25982055,0.4025471,0.26531193,0.19126853,0.13549165,0.1957191,0.20546557,0.27374154,0.38374287
22,0.47693923,0.5397627,0.07256189,0.47138265,0.5941253,0.6715897,0.43648428,0.3918768,0.54987377,0.5087946,0.40068677,0.43809497,0.16263016,0.49521545,0.27904302,0.19280231,0.5175902,0.5283656,0.2786237,0.2919937,0.57068163,0.31942603,1.0,0.04948651,0.44642442,0.63130367,0.48900488,0.49044853,0.118992634,0.63298535,0.17330697,0.4919497,0.45649308,0.45901087,0.33702832,0.4532082,0.5520476,0.5537043,0.6473882,0.49341804,0.15830937,0.2810795,0.63616776,0.4771549,0.3474787,-0.030235812,0.5927699,0.58172804,0.29137394,0.49640748,0.61014867,0.42948294,0.26059252,0.57364035,0.22020702,0.2778864,0.5381215,0.7653426,0.30021605,0.1395587,0.3704049,0.5862461,0.33228695,0.6309676
23,0.1310697,0.36307916,0.63552004,0.086761706,0.18462685,0.09230476,0.44343197,0.14608371,0.26993972,0.15102753,0.39227298,0.17677844,0.7931027,0.11545328,0.06414816,0.7370828,0.37786108,0.009403355,0.122994065,0.7031682,0.14160545,0.10830495,0.04948651,1.0,0.13474968,0.097222,0.45818743,0.17622307,0.7162203,0.1475915,0.5872174,0.037734322,0.14484678,0.15486017,0.48074046,0.081073664,-0.05410459,0.18887603,0.20530495,0.43051124,0.23702385,0.6435921,0.046325766,0.13079907,0.10415577,0.7795634,0.29498526,-0.06510527,0.5874784,0.08967844,0.07263524,0.28388217,0.43272826,0.30557737,0.7308579,0.5828165,0.2492005,0.1072283,0.121604525,0.6534498,0.38723534,0.11947999,0.4728771,0.1810972
24,0.3141104,0.6005772,0.005155963,0.3252645,0.47323632,0.39393494,0.46249965,0.7240484,0.29584283,0.49183646,0.19615953,0.55123204,0.2738118,0.2978616,0.17765468,0.20354733,0.24198724,0.27810463,0.72980636,0.45277476,0.55496764,0.16400379,0.44642442,0.13474968,1.0,0.7089556,0.25232315,0.65464723,0.040930502,0.38165557,0.1781673,0.22471125,0.5126975,0.6774015,0.3063605,0.25215855,0.67372394,0.27113754,0.41431567,0.377392,0.46208182,0.5379185,0.59747255,0.5587028,0.68846637,-0.003859895,0.5756701,0.33783373,0.32869074,0.3934159,0.36757094,0.20169327,0.38804573,0.32535362,0.24415216,0.16129044,0.28775835,0.4712034,0.12963533,0.1921019,0.19759907,0.22764613,0.6040891,0.48152503
25,0.18770695,0.62793565,0.067323916,0.24932314,0.5080346,0.38805237,0.30935675,0.69806325,0.32348588,0.5918184,0.30922583,0.49352965,0.21140791,0.223442,0.24415775,0.09985786,0.33477634,0.4569195,0.6584958,0.3695295,0.6033276,0.3196386,0.63130367,0.097222,0.7089556,1.0,0.32385442,0.68520355,0.10294403,0.40958914,0.1960604,0.15330116,0.64189094,0.79935706,0.35341302,0.101465166,0.7531049,0.23960216,0.38708565,0.46058267,0.31976566,0.38500828,0.70577127,0.72608906,0.6464011,-0.011971696,0.58050495,0.3072305,0.23168553,0.44542047,0.3126848,0.0971156,0.31168336,0.36081386,0.20492679,0.050939422,0.31254414,0.5923757,-0.015942097,0.17066883,0.13690539,0.19647583,0.4791764,0.51013494
26,0.4695732,0.5752307,0.39483842,0.34631673,0.6222637,0.52977914,0.54567766,0.22327518,0.7361267,0.52661765,0.72256786,0.3815008,0.41444042,0.5664535,0.3980126,0.62322,0.6501012,0.6701837,0.17769629,0.44794294,0.4477145,0.44011298,0.48900488,0.45818743,0.25232315,0.32385442,1.0,0.42251995,0.5292007,0.2269013,0.35964653,0.59390444,0.5366403,0.19362967,0.55785936,0.3263544,0.18690789,0.62587243,0.37032977,0.70424736,0.3004784,0.42974272,0.4595448,0.4065405,0.23225886,0.3066177,0.56212896,0.32305035,0.6658813,0.4314592,0.5853985,0.5573721,0.45357376,0.7625957,0.5312076,0.71563905,0.8299818,0.53350747,0.33599716,0.35064423,0.50188226,0.5377081,0.47564667,0.5411929
27,0.4219186,0.60269845,0.11338728,0.360932,0.4389415,0.3408663,0.40687495,0.60896146,0.49915168,0.60828334,0.48029295,0.57400906,0.27436614,0.3951279,0.39188057,0.2893485,0.34478736,0.5151694,0.6087794,0.40075034,0.5908017,0.35989374,0.49044853,0.17622307,0.65464723,0.6852036,0.42251995,1.0,0.19777548,0.43799138,0.17125931,0.31887603,0.6625036,0.6870464,0.35103565,0.22199228,0.56323844,0.36135706,0.524103,0.45455492,0.5509567,0.5204189,0.66066056,0.84522104,0.65139717,0.08385605,0.5878467,0.26816657,0.36394334,0.37009752,0.43837193,0.2922435,0.30100995,0.42547154,0.25942042,0.2008769,0.4678979,0.52149963,0.19997685,0.17435572,0.24581797,0.39214653,0.64874333,0.61351895
28,0.21488728,0.42395547,0.89460737,0.099721566,0.12575147,0.16340125,0.45190594,0.064441144,0.54447424,0.26059514,0.73969626,0.050375365,0.6890476,0.22221954,0.21454471,0.7394179,0.63580585,0.26707223,0.011032352,0.54449236,0.18830103,0.29637668,0.118992634,0.7162203,0.040930502,0.10294403,0.5292007,0.19777548,1.0,0.078983955,0.7665396,0.18857895,0.15414318,0.10765875,0.609425,0.12253011,-0.2237247,0.33560222,0.22952221,0.6014655,0.19265155,0.38784277,-0.048350226,0.25754803,0.12073178,0.8378522,0.38051787,-0.1701523,0.57905716,0.18338265,0.09544538,0.43996376,0.37098923,0.38089398,0.71481276,0.5755408,0.34346846,0.11458092,0.3177314,0.7914163,0.6073911,0.3212135,0.38080636,0.2643547
29,0.5820367,0.30510426,0.053999588,0.7140861,0.43354374,0.29224306,0.32117733,0.3048907,0.3000532,0.28852302,0.18742512,0.44002318,0.22275451,0.5277786,0.27483618,0.15744813,0.22349301,0.2890462,0.26913372,0.3034752,0.31122148,0.26694602,0.63298535,0.1475915,0.38165557,0.40958914,0.2269013,0.4379914,0.07898396,1.0,0.093372285,0.3101947,0.29496342,0.32229036,0.20533033,0.4431387,0.37226406,0.32261968,0.814927,0.15173733,0.2845782,0.29411072,0.5688265,0.36398375,0.2876782,0.07759705,0.44889158,0.4896296,0.14808573,0.19504648,0.40666857,0.2633924,0.33431432,0.40873137,0.14696865,0.17603505,0.33562377,0.60363,0.36425325,0.13326643,0.22303419,0.44908673,0.3311068,0.5255697
